row_ind,player_name,season,transfer_date,team_from,team_to,market_value,transfer_value,contract_expiry,player_url,query_date,timestamp,blob,player_id,teams_url,team_id,player_transfer_id,nombre,transferId,fromTeamId,fromTeamName,toTeamId,toTeamName,active,startDate,endDate,type,value,currency,announceDate,playerId,ID_comparación
1,Aafreen Basharat Parray,24/25,2024-07-23,Rainbow AC,Downtown Heroes,NA,NA,NA,https://www.transfermarkt.com/aafreen-basharat-parray/profil/spieler/1120334,2024-09-08,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 6739,1120334,https://www.transfermarkt.com/downtown-fc/startseite/verein/90496/saison_id/2022,90496,20240723904961120334,Aafreen Basharat Parray,2005963,,,73961,Downtown Heroes,0,2023-07-01,,Free Transfer,0,EUR,,955918,aafreen parray_rainbow ac_downtown heroes_2024_7 / aafreen parray__downtown heroes_2023_7
4,Aafreen Basharat Parray,23/24,2023-10-25,Downtown Heroes,ARA FC,NA,NA,NA,https://www.transfermarkt.com/aafreen-basharat-parray/profil/spieler/1120334,2024-09-08,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 6739,1120334,https://www.transfermarkt.com/downtown-fc/startseite/verein/90496/saison_id/2022,90496,20231025904961120334,Aafreen Basharat Parray,2005963,,,73961,Downtown Heroes,0,2023-07-01,,Free Transfer,0,EUR,,955918,aafreen parray_downtown heroes_ara_2023_10 / aafreen parray__downtown heroes_2023_7
3,Aaren D'Silva,17/18,2017-07-01,Santa Cruz Club,Goa II,NA,0,NA,https://www.transfermarkt.com/aaren-dsilva/profil/spieler/630382,2024-09-10,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 36861,630382,https://www.transfermarkt.com/hyderabad-fc/startseite/verein/76364/saison_id/2022,76364,2017070176364630382,Aaren D'Silva,2005445,31604,Santa Cruz Club Of Cavelossim,61377,FC Goa II,0,2017-07-01,,Transfer,0,EUR,,703579,aaren d'silva_santa cruz_goa ii_2017_7 / aaren d'silva_santa cruz of cavelossim_goa ii_2017_7
1,Aaren D'Silva,20/21,2021-06-18,FC Goa,Hyderabad FC,50000,0,NA,https://www.transfermarkt.com/aaren-dsilva/profil/spieler/630382,2024-09-10,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 36861,630382,https://www.transfermarkt.com/hyderabad-fc/startseite/verein/76364/saison_id/2022,76364,2021061876364630382,Aaren D'Silva,1282047,31884,FC Goa,65456,Hyderabad FC,0,2021-06-18,,Transfer,0,EUR,,703579,aaren d'silva_goa_hyderabad_2021_6 / aaren d'silva_goa_hyderabad_2021_6
2,Aaren D'Silva,20/21,2020-10-28,Goa II,FC Goa,75000,NA,NA,https://www.transfermarkt.com/aaren-dsilva/profil/spieler/630382,2024-09-10,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 36861,630382,https://www.transfermarkt.com/hyderabad-fc/startseite/verein/76364/saison_id/2022,76364,2020102876364630382,Aaren D'Silva,1059236,61377,FC Goa II,31884,FC Goa,0,2020-10-28,2021-06-18,Transfer,0,EUR,,703579,aaren d'silva_goa ii_goa_2020_10 / aaren d'silva_goa ii_goa_2020_10
11,Aaron Amadi-Holloway,15/16,2016-05-31,Oldham Athletic,Wycombe,NA,NA,2016-05-31,https://www.transfermarkt.com/aaron-amadi-holloway/profil/spieler/186574,2024-09-09,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 21158,186574,https://www.transfermarkt.com/fc-hereford/startseite/verein/46842/saison_id/2022,46842,2016053146842186574,Aaron Amadi-Holloway,80641,1665,Oldham Athletic AFC,1678,Wycombe Wanderers FC,1,2016-05-31,2016-07-01,Back from Loan,0,,2016-02-13,10612,aaron amadi-holloway_oldham athletic_wycombe_2016_5 / aaron amadi-holloway_oldham athletic afc_wycombe wanderers_2016_5
2,Aaron Amadi-Holloway,22/23,2022-08-05,Burton Albion,Hereford,2e+05,0,NA,https://www.transfermarkt.com/aaron-amadi-holloway/profil/spieler/186574,2024-09-09,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 21158,186574,https://www.transfermarkt.com/fc-hereford/startseite/verein/46842/saison_id/2022,46842,2022080546842186574,Aaron Amadi-Holloway,1674586,1710,Burton Albion FC,36605,Hereford FC,0,2022-08-05,2023-07-12,Transfer,0,EUR,,10612,aaron amadi-holloway_burton albion_hereford_2022_8 / aaron amadi-holloway_burton albion_hereford_2022_8
6,Aaron Amadi-Holloway,20/21,2020-10-17,Brisbane Roar,SC East Bengal ,2e+05,0,NA,https://www.transfermarkt.com/aaron-amadi-holloway/profil/spieler/186574,2024-09-09,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 21158,186574,https://www.transfermarkt.com/fc-hereford/startseite/verein/46842/saison_id/2022,46842,2020101746842186574,Aaron Amadi-Holloway,1054694,8314,Brisbane Roar FC,15036,SC East Bengal,0,2020-10-17,2021-07-23,Free Transfer,0,EUR,,10612,aaron amadi-holloway_brisbane roar_sc east bengal_2020_10 / aaron amadi-holloway_brisbane roar_sc east bengal_2020_10
15,Aaron Amadi-Holloway,11/12,2012-01-01,Bath City,Bristol City,50000,NA,NA,https://www.transfermarkt.com/aaron-amadi-holloway/profil/spieler/186574,2024-09-09,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 21158,186574,https://www.transfermarkt.com/fc-hereford/startseite/verein/46842/saison_id/2022,46842,2012010146842186574,Aaron Amadi-Holloway,1572374,1728,Bath City FC,1655,Bristol City FC,0,2012-01-01,2014-02-12,Back from Loan,0,EUR,,10612,aaron amadi-holloway_bath city_bristol city_2012_1 / aaron amadi-holloway_bath city_bristol city_2012_1
7,Aaron Amadi-Holloway,19/20,2019-07-01,Shrewsbury,Brisbane Roar,1e+05,0,2020-06-30,https://www.transfermarkt.com/aaron-amadi-holloway/profil/spieler/186574,2024-09-09,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 21158,186574,https://www.transfermarkt.com/fc-hereford/startseite/verein/46842/saison_id/2022,46842,2019070146842186574,Aaron Amadi-Holloway,768591,1697,Shrewsbury Town FC,8314,Brisbane Roar FC,0,2019-07-01,2020-10-17,Transfer,0,EUR,,10612,aaron amadi-holloway_shrewsbury_brisbane roar_2019_7 / aaron amadi-holloway_shrewsbury town_brisbane roar_2019_7
17,Aaron Amadi-Holloway,11/12,2011-07-01,Bristol U18,Bristol City,NA,NA,NA,https://www.transfermarkt.com/aaron-amadi-holloway/profil/spieler/186574,2024-09-09,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 21158,186574,https://www.transfermarkt.com/fc-hereford/startseite/verein/46842/saison_id/2022,46842,2011070146842186574,Aaron Amadi-Holloway,1572374,1728,Bath City FC,1655,Bristol City FC,0,2012-01-01,2014-02-12,Back from Loan,0,EUR,,10612,aaron amadi-holloway_bristol u18_bristol city_2011_7 / aaron amadi-holloway_bath city_bristol city_2012_1
5,Aaron Amadi-Holloway,21/22,2021-07-23,SC East Bengal ,Burton Albion,2e+05,0,NA,https://www.transfermarkt.com/aaron-amadi-holloway/profil/spieler/186574,2024-09-09,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 21158,186574,https://www.transfermarkt.com/fc-hereford/startseite/verein/46842/saison_id/2022,46842,2021072346842186574,Aaron Amadi-Holloway,1350346,15036,SC East Bengal,1710,Burton Albion FC,0,2021-07-23,2022-01-28,Transfer,0,EUR,,10612,aaron amadi-holloway_sc east bengal_burton albion_2021_7 / aaron amadi-holloway_sc east bengal_burton albion_2021_7
10,Aaron Amadi-Holloway,16/17,2016-07-01,Wycombe,Fleetwood,NA,NA,NA,https://www.transfermarkt.com/aaron-amadi-holloway/profil/spieler/186574,2024-09-09,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 21158,186574,https://www.transfermarkt.com/fc-hereford/startseite/verein/46842/saison_id/2022,46842,2016070146842186574,Aaron Amadi-Holloway,253018,1678,Wycombe Wanderers FC,1882,Fleetwood Town FC,1,2016-07-01,2017-01-20,Transfer,0,,2016-05-26,10612,aaron amadi-holloway_wycombe_fleetwood_2016_7 / aaron amadi-holloway_wycombe wanderers_fleetwood town_2016_7
3,Aaron Amadi-Holloway,21/22,2022-05-31,Barrow,Burton Albion,2e+05,NA,2022-05-31,https://www.transfermarkt.com/aaron-amadi-holloway/profil/spieler/186574,2024-09-09,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 21158,186574,https://www.transfermarkt.com/fc-hereford/startseite/verein/46842/saison_id/2022,46842,2022053146842186574,Aaron Amadi-Holloway,1674586,1710,Burton Albion FC,36605,Hereford FC,0,2022-08-05,2023-07-12,Transfer,0,EUR,,10612,aaron amadi-holloway_barrow_burton albion_2022_5 / aaron amadi-holloway_burton albion_hereford_2022_8
8,Aaron Amadi-Holloway,18/19,2018-07-13,Oldham Athletic,Shrewsbury,1e+05,NA,2019-06-30,https://www.transfermarkt.com/aaron-amadi-holloway/profil/spieler/186574,2024-09-09,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 21158,186574,https://www.transfermarkt.com/fc-hereford/startseite/verein/46842/saison_id/2022,46842,2018071346842186574,Aaron Amadi-Holloway,628871,1665,Oldham Athletic,1697,Shrewsbury Town,0,2018-07-13,2019-07-01,Transfer,0,EUR,,10612,aaron amadi-holloway_oldham athletic_shrewsbury_2018_7 / aaron amadi-holloway_oldham athletic_shrewsbury town_2018_7
9,Aaron Amadi-Holloway,16/17,2017-01-20,Fleetwood,Oldham Athletic,1e+05,NA,2018-06-30,https://www.transfermarkt.com/aaron-amadi-holloway/profil/spieler/186574,2024-09-09,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 21158,186574,https://www.transfermarkt.com/fc-hereford/startseite/verein/46842/saison_id/2022,46842,2017012046842186574,Aaron Amadi-Holloway,282871,1882,Fleetwood Town FC,1665,Oldham Athletic AFC,1,2017-01-20,2018-07-13,Transfer,0,EUR,2017-01-21,10612,aaron amadi-holloway_fleetwood_oldham athletic_2017_1 / aaron amadi-holloway_fleetwood town_oldham athletic afc_2017_1
13,Aaron Amadi-Holloway,14/15,2014-08-09,Newport County,Wycombe,NA,0,NA,https://www.transfermarkt.com/aaron-amadi-holloway/profil/spieler/186574,2024-09-09,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 21158,186574,https://www.transfermarkt.com/fc-hereford/startseite/verein/46842/saison_id/2022,46842,2014080946842186574,Aaron Amadi-Holloway,80643,1768,Newport County AFC,1678,Wycombe Wanderers FC,0,2014-08-09,2016-02-12,Transfer,0,EUR,2014-08-09,10612,aaron amadi-holloway_newport county_wycombe_2014_8 / aaron amadi-holloway_newport county afc_wycombe wanderers_2014_8
4,Aaron Amadi-Holloway,21/22,2022-01-28,Burton Albion,Barrow,2e+05,NA,2022-06-30,https://www.transfermarkt.com/aaron-amadi-holloway/profil/spieler/186574,2024-09-09,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 21158,186574,https://www.transfermarkt.com/fc-hereford/startseite/verein/46842/saison_id/2022,46842,2022012846842186574,Aaron Amadi-Holloway,1674586,1710,Burton Albion FC,36605,Hereford FC,0,2022-08-05,2023-07-12,Transfer,0,EUR,,10612,aaron amadi-holloway_burton albion_barrow_2022_1 / aaron amadi-holloway_burton albion_hereford_2022_8
16,Aaron Amadi-Holloway,11/12,2011-11-24,Bristol City,Bath City,50000,NA,2012-06-30,https://www.transfermarkt.com/aaron-amadi-holloway/profil/spieler/186574,2024-09-09,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 21158,186574,https://www.transfermarkt.com/fc-hereford/startseite/verein/46842/saison_id/2022,46842,2011112446842186574,Aaron Amadi-Holloway,1572374,1728,Bath City FC,1655,Bristol City FC,0,2012-01-01,2014-02-12,Back from Loan,0,EUR,,10612,aaron amadi-holloway_bristol city_bath city_2011_11 / aaron amadi-holloway_bath city_bristol city_2012_1
14,Aaron Amadi-Holloway,13/14,2014-02-12,Bristol City,Newport County,NA,0,NA,https://www.transfermarkt.com/aaron-amadi-holloway/profil/spieler/186574,2024-09-09,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 21158,186574,https://www.transfermarkt.com/fc-hereford/startseite/verein/46842/saison_id/2022,46842,2014021246842186574,Aaron Amadi-Holloway,80644,1655,Bristol City FC,1728,Bath City FC,0,2011-11-24,2012-01-01,Loan,0,,2011-11-26,10612,aaron amadi-holloway_bristol city_newport county_2014_2 / aaron amadi-holloway_bristol city_bath city_2011_11
12,Aaron Amadi-Holloway,15/16,2016-02-12,Wycombe,Oldham Athletic,NA,NA,2016-06-30,https://www.transfermarkt.com/aaron-amadi-holloway/profil/spieler/186574,2024-09-09,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 21158,186574,https://www.transfermarkt.com/fc-hereford/startseite/verein/46842/saison_id/2022,46842,2016021246842186574,Aaron Amadi-Holloway,80642,1678,Wycombe Wanderers FC,1665,Oldham Athletic AFC,0,2016-02-12,2016-05-31,Loan,0,,2016-02-13,10612,aaron amadi-holloway_wycombe_oldham athletic_2016_2 / aaron amadi-holloway_wycombe wanderers_oldham athletic afc_2016_2
1,Aaron Amadi-Holloway,23/24,2023-07-12,Hereford,Chippenham,NA,0,NA,https://www.transfermarkt.com/aaron-amadi-holloway/profil/spieler/186574,2024-09-09,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 21158,186574,https://www.transfermarkt.com/fc-hereford/startseite/verein/46842/saison_id/2022,46842,2023071246842186574,Aaron Amadi-Holloway,2013036,36605,Hereford FC,1787,Chippenham Town FC,0,2023-07-12,,Transfer,0,EUR,,10612,aaron amadi-holloway_hereford_chippenham_2023_7 / aaron amadi-holloway_hereford_chippenham town_2023_7
1,Aaron Anderson,23/24,2023-12-01,Altona Magic,Preston Lions FC,NA,NA,NA,https://www.transfermarkt.com/aaron-anderson/profil/spieler/668844,2024-09-08,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 11258,668844,https://www.transfermarkt.com/altona-magic-soccer-club/startseite/verein/8156/saison_id/2022,8156,202312018156668844,Aaron Anderson,2275240,8315,Altona Magic SC,8324,Preston Lions FC,0,2023-12-01,,Transfer,0,EUR,,549145,aaron anderson_altona magic_preston lions_2023_12 / aaron anderson_altona magic sc_preston lions_2023_12
2,Aaron Anderson,22/23,2022-12-01,Melbourne,Altona Magic,150000,NA,NA,https://www.transfermarkt.com/aaron-anderson/profil/spieler/668844,2024-09-08,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 11258,668844,https://www.transfermarkt.com/altona-magic-soccer-club/startseite/verein/8156/saison_id/2022,8156,202212018156668844,Aaron Anderson,1875700,8311,Melbourne Victory FC,8315,Altona Magic SC,0,2022-12-01,2023-12-01,Transfer,0,EUR,,549145,aaron anderson_melbourne_altona magic_2022_12 / aaron anderson_melbourne victory_altona magic sc_2022_12
1,Aaron Appiah,23/24,2023-07-21,BSC YB U21,FC Wil 1900,1e+05,0,NA,https://www.transfermarkt.com/aaron-appiah/profil/spieler/707663,2024-09-10,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 46793,707663,https://www.transfermarkt.com/bsc-young-boys-u21/startseite/verein/5508/saison_id/2022,5508,202307215508707663,Aaron Appiah,1987384,6475,BSC Young Boys II,6416,FC Wil 1900,0,2023-07-21,,Transfer,0,EUR,,733497,aaron appiah_bsc yb u21_wil 1900_2023_7 / aaron appiah_bsc young boys ii_wil 1900_2023_7
4,Aaron Appindangoyé,16/17,2016-07-01,CF Mounana,Stade Lavallois,6e+05,NA,NA,https://www.transfermarkt.com/aaron-appindangoye/profil/spieler/254249,2024-09-10,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 36862,254249,https://www.transfermarkt.com/sivasspor/startseite/verein/2381/saison_id/2022,2381,201607012381254249,Aaron Appindangoyé,1241525,19056,FC Mounana,3801,Stade Lavallois Mayenne FC,0,2016-07-01,2017-08-18,Transfer,0,EUR,,243934,aaron appindangoye_cf mounana_stade lavallois_2016_7 / aaron appindangoye_mounana_stade lavallois mayenne_2016_7
