row_ind,player_name,season,transfer_date,team_from,team_to,market_value,transfer_value,contract_expiry,player_url,query_date,timestamp,blob,player_id,teams_url,team_id,player_transfer_id,ID,nombre,transferId,fromTeamId,fromTeamName,toTeamId,toTeamName,active,startDate,endDate,type,value,currency,announceDate,playerId
5,aaron honger,19/20,2019-07-01,sc buochs,rotkreuz,NA,0,NA,https://www.transfermarkt.com/aaron-honger/profil/spieler/284806,2024-09-08,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 10167,284806,https://www.transfermarkt.com/fc-kickers-luzern/startseite/verein/2051/saison_id/2022,2051,201907012051284806,sc buochs_rotkreuz_2019_7,aaron honger-acosta,995414,6562,sc buochs,65055,rotkreuz,0,2019-07-01,2021-08-01,Transfer,0,EUR,,533365
6,aaron honger,17/18,2018-01-01,schotz,sc buochs,NA,0,2018-06-30,https://www.transfermarkt.com/aaron-honger/profil/spieler/284806,2024-09-08,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 10167,284806,https://www.transfermarkt.com/fc-kickers-luzern/startseite/verein/2051/saison_id/2022,2051,201801012051284806,schotz_sc buochs_2018_1,aaron honger-acosta,1130302,6491,schotz,6562,sc buochs,0,2018-01-01,2019-07-01,Transfer,0,EUR,,533365
4,aaron honger,21/22,2021-08-01,rotkreuz,emmenbrucke,NA,0,NA,https://www.transfermarkt.com/aaron-honger/profil/spieler/284806,2024-09-08,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 10167,284806,https://www.transfermarkt.com/fc-kickers-luzern/startseite/verein/2051/saison_id/2022,2051,202108012051284806,rotkreuz_emmenbrucke_2021_8,aaron honger-acosta,1880850,65055,rotkreuz,6536,emmenbrucke,0,2021-08-01,2022-01-01,Transfer,0,EUR,,533365
11,aaron kuhl,15/16,2015-12-14,dundee united,reading,150000,NA,2015-12-14,https://www.transfermarkt.com/aaron-kuhl/profil/spieler/249884,2024-09-08,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 7939,249884,https://www.transfermarkt.com/dorking-wanderers/startseite/verein/52299/saison_id/2022,52299,2015121452299249884,dundee united_reading_2015_12,aaron kuhl,1310877,8513,dundee united,1637,reading,0,2015-12-14,2016-08-19,Back from Loan,0,EUR,,336757
10,aaron kuhl,16/17,2016-08-19,reading,boreham wood,150000,NA,NA,https://www.transfermarkt.com/aaron-kuhl/profil/spieler/249884,2024-09-08,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 7939,249884,https://www.transfermarkt.com/dorking-wanderers/startseite/verein/52299/saison_id/2022,52299,2016081952299249884,reading_boreham wood_2016_8,aaron kuhl,284080,1637,reading,1917,boreham wood,0,2016-08-19,2017-01-28,Loan,0,,2016-08-20,336757
12,aaron kuhl,15/16,2015-09-01,reading,dundee united,150000,NA,2017-06-30,https://www.transfermarkt.com/aaron-kuhl/profil/spieler/249884,2024-09-08,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 7939,249884,https://www.transfermarkt.com/dorking-wanderers/startseite/verein/52299/saison_id/2022,52299,2015090152299249884,reading_dundee united_2015_9,aaron kuhl,85385,1637,reading,8513,dundee united,0,2015-09-01,2015-12-14,Loan,0,,2015-09-12,336757
9,aaron kuhl,16/17,2017-01-28,boreham wood,reading,150000,NA,2017-01-28,https://www.transfermarkt.com/aaron-kuhl/profil/spieler/249884,2024-09-08,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 7939,249884,https://www.transfermarkt.com/dorking-wanderers/startseite/verein/52299/saison_id/2022,52299,2017012852299249884,boreham wood_reading_2017_1,aaron kuhl,1361052,1917,boreham wood,1637,reading,0,2017-01-28,2017-07-01,Back from Loan,0,EUR,,336757
8,aaron lennox,16/17,2016-07-01,aberdeen,raith rovers,NA,NA,2017-06-30,https://www.transfermarkt.com/aaron-lennox/profil/spieler/216896,2024-09-08,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 18953,216896,https://www.transfermarkt.com/montrose-fc/startseite/verein/3030/saison_id/2022,3030,201607013030216896,aberdeen_raith rovers_2016_7,aaron lennox,302871,8518,aberdeen,8527,raith rovers,1,2016-07-01,2017-06-30,Loan,0,,2016-07-13,144792
5,aaron lennox,18/19,2018-07-01,raith rovers,partick thistle,NA,0,NA,https://www.transfermarkt.com/aaron-lennox/profil/spieler/216896,2024-09-08,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 18953,216896,https://www.transfermarkt.com/montrose-fc/startseite/verein/3030/saison_id/2022,3030,201807013030216896,raith rovers_partick thistle_2018_7,aaron lennox,639700,8527,raith rovers,8519,partick thistle,0,2018-07-01,2019-01-31,Transfer,0,EUR,,144792
2,aaron lennox,19/20,2019-07-05,partick thistle,montrose,75000,0,NA,https://www.transfermarkt.com/aaron-lennox/profil/spieler/216896,2024-09-08,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 18953,216896,https://www.transfermarkt.com/montrose-fc/startseite/verein/3030/saison_id/2022,3030,201907053030216896,partick thistle_montrose_2019_7,aaron lennox,760468,8519,partick thistle,8544,montrose,0,2019-07-05,2023-07-01,Transfer,0,EUR,,144792
4,aaron lennox,18/19,2019-01-31,partick thistle,cowdenbeath,75000,NA,2019-05-31,https://www.transfermarkt.com/aaron-lennox/profil/spieler/216896,2024-09-08,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 18953,216896,https://www.transfermarkt.com/montrose-fc/startseite/verein/3030/saison_id/2022,3030,201901313030216896,partick thistle_cowdenbeath_2019_1,aaron lennox,724314,8519,partick thistle,8543,cowdenbeath,0,2019-01-31,2019-03-20,Loan,0,EUR,,144792
9,aaron iseka,21/22,2021-08-02,toulouse,barnsley,2500000,NA,2022-06-30,https://www.transfermarkt.com/aaron-leya-iseka/profil/spieler/289587,2024-09-07,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 4426,289587,https://www.transfermarkt.com/fc-barnsley/startseite/verein/349/saison_id/2022,349,20210802349289587,toulouse_barnsley_2021_8,aaron iseka,1381737,3780,toulouse,1663,barnsley,0,2021-08-02,2022-09-08,Transfer,0,EUR,,278814
10,aaron iseka,20/21,2021-06-30,metz,toulouse,2500000,NA,2021-06-30,https://www.transfermarkt.com/aaron-leya-iseka/profil/spieler/289587,2024-09-07,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 4426,289587,https://www.transfermarkt.com/fc-barnsley/startseite/verein/349/saison_id/2022,349,20210630349289587,metz_toulouse_2021_6,aaron iseka,1045939,3777,metz,3780,toulouse,0,2021-06-30,2021-08-02,Back from Loan,0,EUR,,278814
11,aaron iseka,20/21,2020-10-30,toulouse,metz,2e+06,NA,2022-06-30,https://www.transfermarkt.com/aaron-leya-iseka/profil/spieler/289587,2024-09-07,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 4426,289587,https://www.transfermarkt.com/fc-barnsley/startseite/verein/349/saison_id/2022,349,20201030349289587,toulouse_metz_2020_10,aaron iseka,1045938,3780,toulouse,3777,metz,0,2020-10-30,2021-06-30,Loan,0,EUR,,278814
2,aaron iseka,23/24,2024-01-29,barnsley,ofi crete,6e+05,NA,2025-06-30,https://www.transfermarkt.com/aaron-leya-iseka/profil/spieler/289587,2024-09-07,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 4426,289587,https://www.transfermarkt.com/fc-barnsley/startseite/verein/349/saison_id/2022,349,20240129349289587,barnsley_ofi crete_2024_1,aaron iseka,2204974,1663,barnsley,12517,ofi crete,0,2024-01-29,2024-09-02,Free Transfer,0,EUR,,278814
7,aaron lombardi,19/20,2019-09-01,orange county,fossacesia,NA,0,NA,https://www.transfermarkt.com/aaron-lombardi/profil/spieler/611025,2024-09-11,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 53463,611025,https://www.transfermarkt.com/chattanooga-red-wolves-sc/startseite/verein/69398/saison_id/2022,69398,2019090169398611025,orange county_fossacesia_2019_9,aaron lombardi,1210762,59370,orange county,37024,fossacesia,0,2019-09-01,2020-09-24,Transfer,0,EUR,,251977
2,aaron martin,22/23,2022-07-08,port vale,eastleigh,3e+05,NA,2023-06-30,https://www.transfermarkt.com/aaron-martin/profil/spieler/136581,2024-09-09,2024-09-07 14:27:45+00:00,transfermarkt/player_transfers/ players_transfer_history 2024-09-07 14:27:45 UTC 0 part 21162,136581,https://www.transfermarkt.com/eastleigh-fc/startseite/verein/10391/saison_id/2022,10391,2022070810391136581,port vale_eastleigh_2022_7,aaron martin,1714608,1658,port vale,1772,eastleigh,0,2022-07-01,2024-07-01,Transfer,0,EUR,,8131
4,aaron martin,21/22,2022-01-24,harrogate town,halifax town,NA,NA,2023-06-30,https://www.transfermarkt.com/aaron-martin/profil/spieler/136581,2023-10-02,2023-09-30 22:31:31+00:00,,136581,https://www.transfermarkt.com/eastleigh-fc/startseite/verein/10391/saison_id/2022,10391,2022012410391136581,harrogate town_halifax town_2022_1,aaron martin,1567419,1752,harrogate town,1714,halifax town,0,2022-01-24,2022-04-16,Loan,0,EUR,,678715
2,aaron martin,22/23,2022-07-09,harrogate town,gateshead,NA,0,2023-06-30,https://www.transfermarkt.com/aaron-martin/profil/spieler/136581,2023-10-02,2023-09-30 22:31:31+00:00,,136581,https://www.transfermarkt.com/eastleigh-fc/startseite/verein/10391/saison_id/2022,10391,2022070910391136581,harrogate town_gateshead_2022_7,aaron martin,1687927,1752,harrogate town,1806,gateshead,0,2022-07-09,2023-08-02,Transfer,0,EUR,,678715
15,aaron martin,12/13,2012-07-01,southampton,crystal palace,NA,NA,NA,https://www.transfermarkt.com/aaron-martin/profil/spieler/796677,2023-10-03,2023-09-30 22:31:31+00:00,,796677,https://www.transfermarkt.com/fc-gateshead/startseite/verein/3456/saison_id/2022,3456,201207013456796677,southampton_crystal palace_2012_7,aaron martin,93402,1619,southampton,1628,crystal palace,0,2012-07-01,2013-01-03,Loan,0,,2012-06-11,8131
